#127.0.0.1 localhost
140.205.34.12 idcconfig.gcloud.qq.com
140.205.34.12 mazu.3g.qq.com
140.205.34.12 aeventlog.beacon.qq.com
140.205.34.12 configsvr.msf.3g.qq.com
140.205.34.12 msfwifi.3g.qq.com
140.205.34.12 sqlobby.pg.com
140.205.34.12 pg.qq.com
140.205.34.12 gameeve.beacon.qq.com
140.205.34.12 gamestr.beacon.qq.com
140.205.34.12 app.adjust.com
140.205.34.12 me.xdrig.com
140.205.34.12 udpolimenew.baidu.com
140.205.34.12 vp.html5.qq.com
140.205.34.12 abc.binmt.cc
140.205.34.12 apilocate.amap.com
140.205.34.12 alog.umeng.com
140.205.34.12 r6.mo.baidu.com
140.205.34.12 qs.game.qq.com
140.205.34.12 qos.gcloud.qq.com
140.205.34.12 cgi.connect.qq.com
140.205.34.12 graph.facebook.com
140.205.34.12 openmobile.qq.com
140.205.34.12 mapp.qzone.qq.com
140.205.34.12 rlog.video.qq.com
140.205.34.12 rr.video.qq.com
140.205.34.12 cdn.wetst.qq.com
140.205.34.12 apn.wetst.qq.com
140.205.34.12 idc.receiver.tdm.qq.com
140.205.34.12 qos.game.qq.com
140.205.34.12 apm.wetst.qq.com
140.205.34.12 tools.3g.qq.com
140.205.34.12 cs.mbgame.gamesafe.qq.com
140.205.34.12 wspeed.qq.com
140.205.34.12 bksdksq.video.qq.com
140.205.34.12 bkvv.video.qq.con
140.205.34.12 apse.ludashi.com
140.205.34.12 sq9.pg.qq.com
140.205.34.12 str.mdt.qq.com
140.205.34.12 sqlobby.pg.qq.com
140.205.34.12 gcloud.qq.com
47.107.84.98 oth.eve.mdt.qq.com
47.107.84.98 pingma.qq.com
47.107.84.98 oth.eve.mdt.qq.com
47.107.84.98 pingma.qq.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 mtrace.qq.com
47.107.84.98 cmshow.gtimg.cn
47.107.84.98 android.rqd.qq.com
47.107.84.98 cloud.pinyin.2345.com
47.107.84.98 smsbook.bbk.com
47.107.84.98 android.rqd.qq.com
47.107.84.98 c.isdspeed.qq.com
47.107.84.98 s8.url.cn
47.107.84.98 dl.url.cn
47.107.84.98 masdk.3g.qq.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 sysupgrade.vivo.com.cn
47.107.84.98 ts8.qq.com
47.107.84.98 magazineunlock.vivo.com.cn
47.107.84.98 configsvr.msf.3g.qq.com
47.107.84.98 apse.s.ludashi.com
47.107.84.98 oth.str.mdt.qq.com
127.0.0.1 d3g.qq.com
127.0.0.1 dldir1.qq.com
127.0.0.1 dldir2.qq.com
0.0.0.0 .cnzz.com
127.0.0.1 0.0.0.1

127.0.0.1 localhost
127.0.0.1 localhost.localdomain
::1 localhost
::1 ip6-localhost
::1 ip6-loopback

127.0.0.1 xiangqi.qq.com
127.0.0.1 xiaoma.qq.com
127.0.0.1 xinyue.qq.com
127.0.0.1 xj.qq.com
127.0.0.1 xlab1.qq.com
127.0.0.1 xlx.qq.com
127.0.0.1 xunxian.qq.com
127.0.0.1 xw.qq.com
127.0.0.1 xx.qq.com
127.0.0.1 xx2.qq.com
127.0.0.1 xxd2.qq.com
127.0.0.1 xxz.qq.com
127.0.0.1 xy.qq.com
127.0.0.1 xy2.qq.com
127.0.0.1 y.qq.com
127.0.0.1 c.y.qq.com
127.0.0.1 i.y.qq.com
127.0.0.1 y1.qq.com
127.0.0.1 yaq.qq.com
127.0.0.1 ycg.qq.com
127.0.0.1 yeah.qq.com
127.0.0.1 yeyou123.qq.com
127.0.0.1 yj2.qq.com
127.0.0.1 yl.qq.com
127.0.0.1 yl2.qq.com
127.0.0.1 ylands.qq.com
127.0.0.1 yljd.qq.com
127.0.0.1 ylzt.qq.com
127.0.0.1 yoo.qq.com
127.0.0.1 open.youtu.qq.com
127.0.0.1 visionseed.youtu.qq.com
127.0.0.1 yoyo.qq.com
127.0.0.1 ysyy.qq.com
127.0.0.1 yue.qq.com
127.0.0.1 yule.qq.com
127.0.0.1 yundong.qq.com
127.0.0.1 yunqi.qq.com
127.0.0.1 yxcq.qq.com
127.0.0.1 yxs.qq.com
127.0.0.1 yxsm.qq.com
127.0.0.1 zb.qq.com
127.0.0.1 zc.qq.com
127.0.0.1 zc2.qq.com
127.0.0.1 zg.qq.com
127.0.0.1 game.zg.qq.com
127.0.0.1 zhan.qq.com
127.0.0.1 zj.qq.com
127.0.0.1 hd.zj.qq.com
127.0.0.1 zjbl.qq.com
127.0.0.1 zone.qq.com
127.0.0.1 zyhx.qq.com
127.0.0.1 3gimg.qq.com:8080
127.0.0.1 open.welink.qq.com
127.0.0.1 wepang03.qq.com
127.0.0.1 weread.qq.com
127.0.0.1 werun03.qq.com
127.0.0.1 wetest.qq.com
127.0.0.1 wifi2.qq.com
127.0.0.1 update.win10.qq.com
127.0.0.1 wj.qq.com
127.0.0.1 wlogin1.qq.com
127.0.0.1 ssl.wlogin1.qq.com
127.0.0.1 wmsj.qq.com
127.0.0.1 wp.qq.com
127.0.0.1 wpa.qq.com
127.0.0.1 wpzs.qq.com
127.0.0.1 wsq.qq.com
127.0.0.1 wt.qq.com
127.0.0.1 wtconn2.qq.com
127.0.0.1 wtconn3.qq.com
127.0.0.1 wtlogin1.qq.com
127.0.0.1 wubi.qq.com
127.0.0.1 wuxia.qq.com
127.0.0.1 ww2.qq.com
127.0.0.1 www1.qq.com
127.0.0.1 wx.qq.com
127.0.0.1 res.wx.qq.com
127.0.0.1 wx1.qq.com
127.0.0.1 wx2.qq.com
127.0.0.1 file.wx2.qq.com
127.0.0.1 login.wx2.qq.com
127.0.0.1 webpush.wx2.qq.com
127.0.0.1 wxn.qq.com
127.0.0.1 wxsnsdythumb.wxs.qq.com
127.0.0.1 x1.qq.com
127.0.0.1 x5.qq.com
127.0.0.1 x52.qq.com
127.0.0.1 1000.x52.qq.com
127.0.0.1 1101.x52.qq.com
127.0.0.1 2201.x52.qq.com
127.0.0.1 3101.x52.qq.com
127.0.0.1 3102.x52.qq.com
127.0.0.1 3103.x52.qq.com
127.0.0.1 3104.x52.qq.com
127.0.0.1 3105.x52.qq.com
127.0.0.1 mobile.x52.qq.com
127.0.0.1 xc.qq.com
127.0.0.1 xd.qq.com
127.0.0.1 xf.qq.com
127.0.0.1 xian.qq.com
127.0.0.1 xianchang.qq.com
127.0.0.1 xiangqi.qq.com
127.0.0.1 xiaoma.qq.com
127.0.0.1 xinyue.qq.com
127.0.0.1 app.mail.qq.com
127.0.0.1 en.mail.qq.com
127.0.0.1 open.mail.qq.com
127.0.0.1 ptlogin4.mail.qq.com
127.0.0.1 rl.mail.qq.com
127.0.0.1 service.mail.qq.com
127.0.0.1 w.mail.qq.com
127.0.0.1 wp.mail.qq.com
127.0.0.1 majiang.qq.com
127.0.0.1 mall.qq.com
127.0.0.1 map.qq.com
127.0.0.1 apis.map.qq.com
127.0.0.1 ue.indoorloc.map.qq.com
127.0.0.1 routes.map.qq.com
127.0.0.1 travel.map.qq.com
127.0.0.1 masterconn11.qq.com
127.0.0.1 masterconn2.qq.com
127.0.0.1 mat1.qq.com
127.0.0.1 mb.qq.com
127.0.0.1 bbs.mb.qq.com
127.0.0.1 mcache1.qq.com
127.0.0.1 mcache2.qq.com
127.0.0.1 mcache3.qq.com
127.0.0.1 meigui.qq.com
127.0.0.1 mgc.qq.com
127.0.0.1 mho.qq.com
127.0.0.1 mhzx.qq.com
127.0.0.1 wiki.midas.qq.com
127.0.0.1 mil.qq.com
127.0.0.1 mini.qq.com
127.0.0.1 mini2015.qq.com
127.0.0.1 minigame.qq.com
127.0.0.1 minigameimg.qq.com
127.0.0.1 minisite2012.qq.com
127.0.0.1 mir3.qq.com
127.0.0.1 miying.qq.com
127.0.0.1 mm2.qq.com
127.0.0.1 mma.qq.com
127.0.0.1 mobile.qq.com
127.0.0.1 money.qq.com
127.0.0.1 mp.qq.com
127.0.0.1 post.mp.qq.com
127.0.0.1 uni.mp.qq.com
127.0.0.1 mp3.qq.com
127.0.0.1 mq.qq.com
127.0.0.1 mqqgame.qq.com
127.0.0.1 ms2.qq.com
127.0.0.1 msm.qq.com
127.0.0.1 mt2.qq.com
127.0.0.1 mta.qq.com
127.0.0.1 music.qq.com
127.0.0.1 mv2.qq.com
127.0.0.1 ns-cdn2.qq.com
127.0.0.1 ns-cmn1.qq.com
127.0.0.1 ns-cnc1.qq.com
127.0.0.1 ns-edu2.qq.com
127.0.0.1 ns-open1.qq.com
127.0.0.1 ns-open3.qq.com
127.0.0.1 ns-os1.qq.com
127.0.0.1 ns-tel1.qq.com
127.0.0.1 ns-tel2.qq.com
127.0.0.1 randy-maugans-i-iz-a-netelligent-limestone-geekstorage-whore.ns2.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 nz.qq.com
127.0.0.1 o2.qq.com
127.0.0.1 ac.o2.qq.com
127.0.0.1 act.o2.qq.com
127.0.0.1 office.qq.com
127.0.0.1 m.om.qq.com
127.0.0.1 omgmta1.qq.com
127.0.0.1 open.qq.com
127.0.0.1 bbs.open.qq.com
127.0.0.1 iot.open.qq.com
127.0.0.1 op.open.qq.com
127.0.0.1 wiki.open.qq.com
127.0.0.1 zc.open.qq.com
127.0.0.1 openmail.qq.com
127.0.0.1 app1104937123.openwebgame.qq.com
127.0.0.1 ossweb-img.qq.com
127.0.0.1 ossweb-img1.qq.com
127.0.0.1 ossweb-img2.qq.com
127.0.0.1 s.p.qq.com
127.0.0.1 p2pserver2.qq.com
127.0.0.1 watcheditor.pace.qq.com
127.0.0.1 panda.qq.com
127.0.0.1 panshi.qq.com
127.0.0.1 password.qq.com
127.0.0.1 pay.qq.com
127.0.0.1 www.pay.qq.com
127.0.0.1 my.pay.qq.com
127.0.0.1 pc.qq.com
127.0.0.1 c.pc.qq.com
127.0.0.1 s.pc.qq.com
127.0.0.1 pcmgr.qq.com
127.0.0.1 pcmt2.qq.com
127.0.0.1 pdldir0.qq.com
127.0.0.1 pdllog01.qq.com
127.0.0.1 pengyou.qq.com
127.0.0.1 passport.pengyou.qq.com
127.0.0.1 pet.qq.com
127.0.0.1 fight.pet.qq.com
127.0.0.1 pg.qq.com
127.0.0.1 photo.qq.com
127.0.0.1 myhenan.qq.com
127.0.0.1 nanjing2014.qq.com
127.0.0.1 naonao.qq.com
127.0.0.1 nba.qq.com
127.0.0.1 nba2k2.qq.com
127.0.0.1 nbachina.qq.com
127.0.0.1 res.ncdz.qq.com
127.0.0.1 new.qq.com
127.0.0.1 newreg.qq.com
127.0.0.1 news.qq.com
127.0.0.1 bb.news.qq.com
127.0.0.1 green.news.qq.com
127.0.0.1 roll.news.qq.com
127.0.0.1 topic.news.qq.com
127.0.0.1 view.news.qq.com
127.0.0.1 weather.news.qq.com
127.0.0.1 newsynserver1.qq.com
127.0.0.1 newsynserver2.qq.com
127.0.0.1 newsynserver3.qq.com
127.0.0.1 nextidea.qq.com
127.0.0.1 nfsol.qq.com
127.0.0.1 no1.qq.com
127.0.0.1 now.qq.com
127.0.0.1 ns-cdn1.qq.com
127.0.0.1 ns-cdn2.qq.com
127.0.0.1 ns-cmn1.qq.com
127.0.0.1 ns-cnc1.qq.com
127.0.0.1 ns-edu2.qq.com
127.0.0.1 ns-open1.qq.com
127.0.0.1 ns-open3.qq.com
127.0.0.1 ns-os1.qq.com
127.0.0.1 ns-tel1.qq.com
127.0.0.1 ns-tel2.qq.com
127.0.0.1 randy-maugans-i-iz-a-netelligent-limestone-geekstorage-whore.ns2.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 nz.qq.com
127.0.0.1 o2.qq.com
127.0.0.1 ac.o2.qq.com
127.0.0.1 act.o2.qq.com
127.0.0.1 office.qq.com
127.0.0.1 m.om.qq.com
127.0.0.1 omgmta1.qq.com
127.0.0.1 open.qq.com
127.0.0.1 bbs.open.qq.com
127.0.0.1 iot.open.qq.com
127.0.0.1 op.open.qq.com
127.0.0.1 wiki.open.qq.com
127.0.0.1 zc.open.qq.com
127.0.0.1 openmail.qq.com
127.0.0.1 app1104937123.openwebgame.qq.com
127.0.0.1 s.p.qq.com
127.0.0.1 p2pserver2.qq.com
127.0.0.1 watcheditor.pace.qq.com
127.0.0.1 panda.qq.com
127.0.0.1 panshi.qq.com
127.0.0.1 password.qq.com
127.0.0.1 pay.qq.com
127.0.0.1 www.pay.qq.com
127.0.0.1 my.pay.qq.com
127.0.0.1 pc.qq.com
127.0.0.1 c.pc.qq.com
127.0.0.1 s.pc.qq.com
127.0.0.1 pcmgr.qq.com
127.0.0.1 pcmt2.qq.com
127.0.0.1 pdldir0.qq.com
127.0.0.1 pdllog01.qq.com
127.0.0.1 pengyou.qq.com
127.0.0.1 passport.pengyou.qq.com
127.0.0.1 pet.qq.com
127.0.0.1 fight.pet.qq.com
127.0.0.1 pg.qq.com
127.0.0.1 photo.qq.com
127.0.0.1 photoimg2.qq.com
127.0.0.1 photoimg382.qq.com
127.0.0.1 photoimg451.qq.com
127.0.0.1 photoimg60.qq.com
127.0.0.1 pick101.qq.com
127.0.0.1 pim.qq.com
127.0.0.1 pim2.qq.com
127.0.0.1 pingfore.qq.com
127.0.0.1 player.qq.com
127.0.0.1 pm.qq.com
127.0.0.1 poe.qq.com
127.0.0.1 poker.qq.com
127.0.0.1 pp.qq.com
127.0.0.1 privacy.qq.com
127.0.0.1 prowork.qq.com
127.0.0.1 ptlogin2.qq.com
127.0.0.1 check.ptlogin2.qq.com
127.0.0.1 localhost.ptlogin2.qq.com
127.0.0.1 ssl.ptlogin2.qq.com
127.0.0.1 ui.ptlogin2.qq.com
127.0.0.1 ssl.ui.ptlogin2.qq.com
127.0.0.1 xui.ptlogin2.qq.com
127.0.0.1 ssl.xui.ptlogin2.qq.com
127.0.0.1 pvp.qq.com
127.0.0.1 py.qq.com
127.0.0.1 pz2.qq.com
127.0.0.1 qb.qq.com
127.0.0.1 qgc.qq.com
127.0.0.1 qian.qq.com
127.0.0.1 qiandao.qq.com
127.0.0.1 check.ptlogin2.qq.com
127.0.0.1 localhost.ptlogin2.qq.com
127.0.0.1 ssl.ptlogin2.qq.com
127.0.0.1 ui.ptlogin2.qq.com
127.0.0.1 ssl.ui.ptlogin2.qq.com
127.0.0.1 xui.ptlogin2.qq.com
127.0.0.1 ssl.xui.ptlogin2.qq.com
127.0.0.1 pvp.qq.com
127.0.0.1 py.qq.com
127.0.0.1 pz2.qq.com
127.0.0.1 qb.qq.com
127.0.0.1 qgc.qq.com
127.0.0.1 qian.qq.com
127.0.0.1 qiandao.qq.com
127.0.0.1 qidian.qq.com
127.0.0.1 qiye.qq.com
127.0.0.1 awx.qj2.qq.com
127.0.0.1 qm.qq.com
127.0.0.1 qmzg2.qq.com
127.0.0.1 qqapp.qq.com
127.0.0.1 qqgame.qq.com
127.0.0.1 qqgame-update1.qq.com
127.0.0.1 qqgamecdnimg.qq.com
127.0.0.1 qqhx.qq.com
127.0.0.1 qqshow2-item1.qq.com
127.0.0.1 qqtalkdir1.qq.com
127.0.0.1 qqtang.qq.com
127.0.0.1 qt.qq.com
127.0.0.1 qun.qq.com
127.0.0.1 admin.qun.qq.com
127.0.0.1 ptlogin2.qun.qq.com
127.0.0.1 ptlogin4.qun.qq.com
127.0.0.1 web.qun.qq.com
127.0.0.1 qzone.qq.com
127.0.0.1 4351634.qzone.qq.com
127.0.0.1 51903257.qzone.qq.com
127.0.0.1 523580204.qzone.qq.com
127.0.0.1 7002724.qzone.qq.com
127.0.0.1 act.qzone.qq.com
127.0.0.1 appbase.qzone.qq.com
127.0.0.1 apphub.qzone.qq.com
127.0.0.1 b1.qzone.qq.com
127.0.0.1 b11.qzone.qq.com
127.0.0.1 www.city.qzone.qq.com
127.0.0.1 game.qzone.qq.com
127.0.0.1 h5.qzone.qq.com
127.0.0.1 h5s.qzone.qq.com
127.0.0.1 ic2.qzone.qq.com
127.0.0.1 mobile.qzone.qq.com
127.0.0.1 my.qzone.qq.com
127.0.0.1 open.qzone.qq.com
127.0.0.1 openapi.qzone.qq.com
127.0.0.1 s.p.qq.com
127.0.0.1 p2pserver2.qq.com
127.0.0.1 watcheditor.pace.qq.com
127.0.0.1 panda.qq.com
127.0.0.1 panshi.qq.com
127.0.0.1 password.qq.com
127.0.0.1 pay.qq.com
127.0.0.1 www.pay.qq.com
127.0.0.1 my.pay.qq.com
127.0.0.1 pc.qq.com
127.0.0.1 c.pc.qq.com
127.0.0.1 s.pc.qq.com
127.0.0.1 pcmgr.qq.com
127.0.0.1 pcmt2.qq.com
127.0.0.1 pdldir0.qq.com
127.0.0.1 pdllog01.qq.com
127.0.0.1 pengyou.qq.com
127.0.0.1 passport.pengyou.qq.com
127.0.0.1 pet.qq.com
127.0.0.1 fight.pet.qq.com
127.0.0.1 pg.qq.com
127.0.0.1 photo.qq.com
127.0.0.1 photoimg2.qq.com
127.0.0.1 photoimg382.qq.com
127.0.0.1 photoimg451.qq.com
127.0.0.1 photoimg60.qq.com
127.0.0.1 pick101.qq.com
127.0.0.1 pim.qq.com
127.0.0.1 pim2.qq.com
127.0.0.1 pingfore.qq.com
127.0.0.1 player.qq.com
127.0.0.1 pm.qq.com
127.0.0.1 poe.qq.com
127.0.0.1 poker.qq.com
127.0.0.1 pp.qq.com
127.0.0.1 privacy.qq.com
127.0.0.1 prowork.qq.com
127.0.0.1 ptlogin2.qq.com
127.0.0.1 check.ptlogin2.qq.com
127.0.0.1 localhost.ptlogin2.qq.com
127.0.0.1 ssl.ptlogin2.qq.com
127.0.0.1 ui.ptlogin2.qq.com
127.0.0.1 ssl.ui.ptlogin2.qq.com
127.0.0.1 xui.ptlogin2.qq.com
127.0.0.1 ssl.xui.ptlogin2.qq.com
127.0.0.1 pvp.qq.com
127.0.0.1 py.qq.com
127.0.0.1 pz2.qq.com
127.0.0.1 qb.qq.com
127.0.0.1 qgc.qq.com
127.0.0.1 qian.qq.com
127.0.0.1 qiandao.qq.com
127.0.0.1 mxbiz1.qq.com
127.0.0.1 auth.mxbiz1.qq.com
127.0.0.1 in.auth.mxbiz1.qq.com
127.0.0.1 hosts.mxbiz1.qq.com
127.0.0.1 mxbiz2.qq.com
127.0.0.1 2.mxbiz2.qq.com
127.0.0.1 mail2.mxbiz2.qq.com
127.0.0.1 mxd2.qq.com
127.0.0.1 down.my2010.qq.com
127.0.0.1 myhenan.qq.com
127.0.0.1 nanjing2014.qq.com
127.0.0.1 naonao.qq.com
127.0.0.1 nba.qq.com
127.0.0.1 nba2k2.qq.com
127.0.0.1 nbachina.qq.com
127.0.0.1 res.ncdz.qq.com
127.0.0.1 new.qq.com
127.0.0.1 newreg.qq.com
127.0.0.1 news.qq.com
127.0.0.1 bb.news.qq.com
127.0.0.1 green.news.qq.com
127.0.0.1 roll.news.qq.com
127.0.0.1 topic.news.qq.com
127.0.0.1 view.news.qq.com
127.0.0.1 weather.news.qq.com
127.0.0.1 newsynserver1.qq.com
127.0.0.1 newsynserver2.qq.com
127.0.0.1 newsynserver3.qq.com
127.0.0.1 nextidea.qq.com
127.0.0.1 nfsol.qq.com
127.0.0.1 no1.qq.com
127.0.0.1 now.qq.com
127.0.0.1 ns-cdn1.qq.com
127.0.0.1 ns-cdn2.qq.com
127.0.0.1 ns-cmn1.qq.com
127.0.0.1 ns-cnc1.qq.com
127.0.0.1 ns-edu2.qq.com
127.0.0.1 ns-open1.qq.com
127.0.0.1 ns-open3.qq.com
127.0.0.1 ns-os1.qq.com
127.0.0.1 ns-tel1.qq.com
127.0.0.1 ns-tel2.qq.com
127.0.0.1 randy-maugans-i-iz-a-netelligent-limestone-geekstorage-whore.ns2.qq.com
127.0.0.1 ns3.qq.com
127.0.0.1 nz.qq.com
127.0.0.1 o2.qq.com
127.0.0.1 ac.o2.qq.com
127.0.0.1 act.o2.qq.com
127.0.0.1 office.qq.com
127.0.0.1 m.om.qq.com
127.0.0.1 omgmta1.qq.com
127.0.0.1 kof02.qq.com
127.0.0.1 kp.qq.com
127.0.0.1 kpl.qq.com
127.0.0.1 ks.qq.com
127.0.0.1 ksfp3.qq.com
127.0.0.1 kuaibao.qq.com
127.0.0.1 l.qq.com
127.0.0.1 c.l.qq.com
127.0.0.1 cm.l.qq.com
127.0.0.1 imc.l.qq.com
127.0.0.1 x.l.qq.com
127.0.0.1 astro.lady.qq.com
127.0.0.1 lbs.qq.com
127.0.0.1 ld2.qq.com
127.0.0.1 game.ld2.qq.com
127.0.0.1 res.ld2.qq.com
127.0.0.1 le.qq.com
127.0.0.1 lgwx.qq.com
127.0.0.1 ligue1.qq.com
127.0.0.1 lineage2.qq.com
127.0.0.1 list.qq.com
127.0.0.1 live.qq.com
127.0.0.1 lixian.qq.com
127.0.0.1 lol.qq.com
127.0.0.1 bbs.lol.qq.com
127.0.0.1 yz.lol.qq.com
127.0.0.1 lolriotmall.qq.com
127.0.0.1 lostark.qq.com
127.0.0.1 lpl.qq.com
127.0.0.1 luobo3.qq.com
127.0.0.1 m.qq.com
127.0.0.1 m2007b2.qq.com
127.0.0.1 mail.qq.com
127.0.0.1 app.mail.qq.com
127.0.0.1 en.mail.qq.com
127.0.0.1 open.mail.qq.com
127.0.0.1 ptlogin4.mail.qq.com
127.0.0.1 rl.mail.qq.com
127.0.0.1 service.mail.qq.com
127.0.0.1 w.mail.qq.com
127.0.0.1 wp.mail.qq.com
127.0.0.1 majiang.qq.com
127.0.0.1 mall.qq.com
127.0.0.1 map.qq.com
127.0.0.1 apis.map.qq.com
127.0.0.1 ue.indoorloc.map.qq.com
127.0.0.1 routes.map.qq.com
127.0.0.1 travel.map.qq.com
127.0.0.1 masterconn11.qq.com
127.0.0.1 masterconn2.qq.com
127.0.0.1 mat1.qq.com
127.0.0.1 mb.qq.com
127.0.0.1 iot.open.qq.com
127.0.0.1 op.open.qq.com
127.0.0.1 wiki.open.qq.com
127.0.0.1 zc.open.qq.com
127.0.0.1 openmail.qq.com
127.0.0.1 app1104937123.openwebgame.qq.com
127.0.0.1 ossweb-img.qq.com
127.0.0.1 ossweb-img1.qq.com
127.0.0.1 ossweb-img2.qq.com
127.0.0.1 s.p.qq.com
127.0.0.1 p2pserver2.qq.com
127.0.0.1 watcheditor.pace.qq.com
127.0.0.1 panda.qq.com
127.0.0.1 panshi.qq.com
127.0.0.1 password.qq.com
127.0.0.1 pay.qq.com
127.0.0.1 www.pay.qq.com
127.0.0.1 my.pay.qq.com
127.0.0.1 pc.qq.com
127.0.0.1 c.pc.qq.com
127.0.0.1 s.pc.qq.com
127.0.0.1 pcmgr.qq.com
127.0.0.1 pcmt2.qq.com
127.0.0.1 pdldir0.qq.com
127.0.0.1 pdllog01.qq.com
127.0.0.1 pengyou.qq.com
127.0.0.1 passport.pengyou.qq.com
127.0.0.1 pet.qq.com
127.0.0.1 fight.pet.qq.com
127.0.0.1 pg.qq.com
127.0.0.1 photo.qq.com
127.0.0.1 photoimg2.qq.com
127.0.0.1 photoimg382.qq.com
127.0.0.1 photoimg451.qq.com
127.0.0.1 photoimg60.qq.com
127.0.0.1 pick101.qq.com
127.0.0.1 pim.qq.com
127.0.0.1 pim2.qq.com
127.0.0.1 pingfore.qq.com
127.0.0.1 player.qq.com
127.0.0.1 pm.qq.com
127.0.0.1 poe.qq.com
127.0.0.1 poker.qq.com
127.0.0.1 pp.qq.com
127.0.0.1 privacy.qq.com
127.0.0.1 prowork.qq.com
127.0.0.1 ptlogin2.qq.com
127.0.0.1 check.ptlogin2.qq.com
127.0.0.1 localhost.ptlogin2.qq.com
127.0.0.1 ssl.ptlogin2.qq.com
127.0.0.1 ui.ptlogin2.qq.com
127.0.0.1 ssl.ui.ptlogin2.qq.com
127.0.0.1 imtt.dd.qq.com
127.0.0.1 developer.qq.com
127.0.0.1 dingdang.qq.com
127.0.0.1 discuz.qq.com
127.0.0.1 connect.discuz.qq.com
127.0.0.1 cp.discuz.qq.com
127.0.0.1 ptlogin4.discuz.qq.com
127.0.0.1 search.discuz.qq.com
127.0.0.1 stats.discuz.qq.com
127.0.0.1 wsq.discuz.qq.com
127.0.0.1 dj2.qq.com
127.0.0.1 djt.qq.com
127.0.0.1 dl_dir2.qq.com
127.0.0.1 dl_dir3.qq.com
127.0.0.1 dldir1.qq.com
127.0.0.1 dldir2.qq.com
127.0.0.1 glb.dldir2.qq.com
127.0.0.1 dldir3.qq.com
127.0.0.1 dldr1.qq.com
127.0.0.1 dlglobal.qq.com
127.0.0.1 dlied1.qq.com
127.0.0.1 dlied2.qq.com
127.0.0.1 dlied3.qq.com
127.0.0.1 dlied6.qq.com
127.0.0.1 dn.qq.com
127.0.0.1 dnf.qq.com
127.0.0.1 dnfcity.qq.com
127.0.0.1 dns1.qq.com
127.0.0.1 dns2.qq.com
127.0.0.1 docs.qq.com
127.0.0.1 2667458095.docs.qq.com
127.0.0.1 doctor.qq.com
127.0.0.1 doujin.qq.com
127.0.0.1 down.qq.com
127.0.0.1 down-update.qq.com
127.0.0.1 dp3.qq.com
127.0.0.1 dz.qq.com
127.0.0.1 dzs.qq.com
127.0.0.1 e.qq.com
127.0.0.1 dev.e.qq.com
127.0.0.1 oos.e.qq.com
127.0.0.1 page.e.qq.com
127.0.0.1 prereview.e.qq.com
127.0.0.1 eafifa.qq.com
127.0.0.1 ec.qq.com
127.0.0.1 edu.qq.com
127.0.0.1 egame.qq.com
127.0.0.1 cdn.egame.qq.com
127.0.0.1 open.egame.qq.com
127.0.0.1 zhushou.egame.qq.com
127.0.0.1 ehr1.qq.com
127.0.0.1 email.qq.com
127.0.0.1 h1z1.qq.com
127.0.0.1 bbs.h1z1.qq.com
127.0.0.1 h2.qq.com
127.0.0.1 test0925.h2.qq.com
127.0.0.1 test0929.h2.qq.com
127.0.0.1 habo.qq.com
127.0.0.1 hao.qq.com
127.0.0.1 v.hao.qq.com
127.0.0.1 haoma.qq.com
127.0.0.1 haomiao.qq.com
127.0.0.1 hb.qq.com
127.0.0.1 hdl.qq.com
127.0.0.1 hea.qq.com
127.0.0.1 health.qq.com
127.0.0.1 heat.qq.com
127.0.0.1 helper.qq.com
127.0.0.1 cdn.helper.qq.com
127.0.0.1 henan.qq.com
127.0.0.1 hn.qq.com
127.0.0.1 hongjing.qq.com
127.0.0.1 house.qq.com
127.0.0.1 cd.house.qq.com
127.0.0.1 cq.house.qq.com
127.0.0.1 db.house.qq.com
127.0.0.1 gz.house.qq.com
127.0.0.1 huizhou.house.qq.com
127.0.0.1 news.house.qq.com
127.0.0.1 nj.house.qq.com
127.0.0.1 photo.house.qq.com
127.0.0.1 sz.house.qq.com
127.0.0.1 xian.house.qq.com
127.0.0.1 hr.qq.com
127.0.0.1 htdata2.qq.com
127.0.0.1 htdata3.qq.com
127.0.0.1 audio.html5.qq.com
127.0.0.1 file.html5.qq.com
127.0.0.1 mdc.html5.qq.com
127.0.0.1 read.html5.qq.com
127.0.0.1 huanle.qq.com
127.0.0.1 hlddz.huanle.qq.com
127.0.0.1 ping.huatuo.qq.com
127.0.0.1 huifu.qq.com
127.0.0.1 huoguo.qq.com
127.0.0.1 huoying.qq.com
127.0.0.1 hwz.qq.com
127.0.0.1 hx2.qq.com
127.0.0.1 hxsj.qq.com
127.0.0.1 i.qq.com
127.0.0.1 mirinda2019.ia.qq.com
127.0.0.1 iask.qq.com
127.0.0.1 ib.qq.com
127.0.0.1 ic.qq.com
127.0.0.1 qq.com
127.0.0.1 stats.globesports.com
127.0.0.1 stats.groupninetyfour.com
127.0.0.1 stats.idsoft.com
127.0.0.1 stats.ign.com
127.0.0.1 stats.ilsemedia.nl
127.0.0.1 stats.independent.co.uk
127.0.0.1 stats.indexstats.com
127.0.0.1 stats.indextools.com
127.0.0.1 stats.investors.com
127.0.0.1 stats.iwebtrack.com
127.0.0.1 stats.jippii.com
127.0.0.1 stats.klsoft.com
